log_number,X_uuid,cluster_location_id,date_assessment,governorate_mcna_r,district_mcna,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
387,24be1f5f-1d1e-4d26-9698-3a3469e50e73,NA,30-Jul,al.anbar,al.rutba,19,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
388,25003e11-5512-4677-b780-603907955e0f,NA,5-Aug,ninewa,sinjar,101,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
389,250b1f5d-555e-4bca-b91d-7a37ee02bc50,24092,28-Jul,NA,duhok,89,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
390,251bdf23-9761-407b-aa43-51b347df61f6,7945,27-Jul,NA,duhok,92,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,9,9,6
391,254a3589-fb55-4dde-8444-fb7d42ac7208,NA,29-Jul,ninewa,al.hamdaniya,101,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
392,255d792f-b630-4701-b51c-8e40c84f3922,NA,5-Aug,al.anbar,al.kaim,25,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
393,257b765b-e6d9-4c4d-9e61-2321864459cc,15674,23-Aug,NA,dibis,63,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
394,25ad1ed4-836e-428b-9743-ec927a9d9a81,31765,12-Aug,NA,khanaqin,1,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
395,25c77aca-6b01-4005-828a-7a91d66d3aab,21103,10-Aug,NA,tooz.khurmato,75,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
396,25d66ecf-bae1-4196-b007-7fc173b7cbd1,24786,26-Jul,NA,al.kut,68,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
397,2688a692-5a0d-494d-8b20-a38a57d5b784,NA,16-Aug,al.najaf,al.najaf,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
398,27691898-57f5-437a-91d7-409231993d9c,NA,9-Aug,salah.al.din,al.daur,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
399,282c56ee-f25d-4958-b317-803d7d236c3d,32031,6-Aug,NA,zakho,95,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
400,295ff637-d511-40bf-ae6e-eec995773ba0,29654,28-Jul,NA,al.shirqat,72,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
401,2996edfb-42bb-437d-839e-4f41c7681571,NA,27-Jul,ninewa,al.baaj,12,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
402,29ab8f71-7e94-45f3-933b-0318b45f45f6,NA,12-Aug,babil,al.mussyab,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
403,29ac2c18-c8d9-4d16-a559-d4b0c1210800,NA,13-Aug,baghdad,al.mahmoudiya,14,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
404,29fe0829-f6b2-4cf9-a2d6-b21bd5606fa9,NA,14-Aug,baghdad,al.adhamiya,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
405,29ffb552-0735-48d9-8569-8d8f6ed44472,NA,28-Jul,ninewa,al.hamdaniya,7,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
406,2a0aaa18-bea5-4661-93fb-d3697df93c53,15614,3-Sep,NA,al.hawiga,57,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
407,2a3fb554-3acd-490e-960a-f8d16e1cebfd,NA,16-Aug,erbil,koysinjaq,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
408,2ab97d85-f548-4153-bbc6-156262d713e6,NA,14-Aug,baghdad,al.kadhmiyah,107,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
409,2b46055c-6a7e-44f0-8927-19c1c581731e,23889,12-Sep,NA,al.ramadi,24,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
410,2b5f3e79-7772-4766-832e-f610bc512227,25866,7-Aug,NA,tooz.khurmato,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
411,2b818c70-747b-4a5c-af9e-e6d7d65cf7b1,21103,10-Aug,NA,tooz.khurmato,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
412,2bc21f1d-40cb-409e-a9b3-d785381c7b71,NA,17-Aug,erbil,koysinjaq,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
413,2c05a1c6-aa42-4093-87c6-bbb25b21827d,32031,6-Aug,NA,zakho,97,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
414,2c58dc39-ba38-4602-90b2-c67d2d1a2e5a,14555,5-Aug,NA,beygee,81,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
415,2c8efb5a-7638-4b9e-86c9-fa7d99c81e14,NA,6-Aug,salah.al.din,balad,13,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
416,2cca56c2-f524-43f8-9a20-a72da59ed623,25866,8-Aug,NA,tooz.khurmato,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
417,2ccd27e6-ef10-492c-9d0a-67acb0ee8507,33780,10-Sep,NA,al.falluja,24,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
418,2cfbfb18-81d1-45b2-89e4-4f296fc196e9,NA,5-Aug,al.sulaymaniyah,dokan,35,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
419,2d314ab2-0df8-499f-b074-2a51b92c9737,21103,10-Aug,NA,tooz.khurmato,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
420,2da0bfb2-d23f-42bb-b77d-0bebe56a9273,NA,9-Aug,salah.al.din,tikrit,99,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
421,2deb14cc-7c05-4ddc-8cee-eaef97c8939a,NA,12-Aug,ninewa,al.baaj,110,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
422,2e6ce1a2-4992-4672-80da-7f2cbc768226,25752,6-Aug,NA,tooz.khurmato,81,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
423,2e949146-3f99-4f67-8eaa-afa655876b17,17734,9-Aug,NA,aqra,92,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
424,2eb4fc01-618c-4d42-a06f-ddbe9c1a1404,25441,11-Sep,NA,al.ramadi,24,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
425,2ed248db-d55d-4e4d-9ed9-af1dab4fc71a,NA,4-Aug,ninewa,al.hamdaniya,110,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
426,2f9a4b05-fcda-44b7-b79a-ab3d98298ea5,15449,25-Aug,NA,dibis,63,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
427,2fb05eac-773b-4cc2-aa23-32d4e9d92662,NA,15-Aug,baghdad,al.karkh,14,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
428,302a244e-8a72-4236-b5b8-7cbc760dd847,25866,7-Aug,NA,tooz.khurmato,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
429,30a4cc05-fa76-4d44-a729-b586e54cd287,33369,5-Aug,NA,beygee,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
430,30aaf8ff-c756-4417-bec1-50f7f6c4e7eb,20607,4-Aug,NA,beygee,70,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
431,30abcfa9-31a9-441d-80cf-939b1e3e160c,32031,6-Aug,NA,zakho,97,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
432,30b9a9b5-ffd4-4592-9195-f05f721dcea8,NA,14-Aug,baghdad,al.adhamiya,14,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
433,30cac484-379c-4088-ad16-b56f6120cc63,23889,12-Sep,NA,al.ramadi,25,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
433,2c652a60-27ae-4aa4-a8e8-ba9b3c5856f6,152,18-Sep,NA,heet,18,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
434,30e3b9f9-1324-4db7-9979-91e264d7a949,NA,6-Aug,salah.al.din,balad,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
435,3127483f-ced9-4359-9e64-d3f8c6c8a9df,NA,17-Aug,al.najaf,al.kufa,14,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
436,31825216-c5e7-4681-8d6d-d15f61761d22,NA,18-Aug,erbil,koysinjaq,35,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
437,31917754-d369-48ab-ab0b-5391ad07f4d0,18199,8-Aug,NA,al.shikhan,92,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
438,31beb90a-63e6-44e4-85dc-0cacd069a519,25752,6-Aug,NA,tooz.khurmato,79,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
439,327c77b7-52a7-478b-996a-8c6f5b3a8f7a,NA,29-Jul,ninewa,al.hamdaniya,110,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
440,32882791-c94a-4b5b-a5d9-6ef23fea0faf,19070,21-Jul,NA,al.kut,3,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
441,328aee3a-81f4-4c1b-83ad-c5d11d08d0ca,NA,6-Aug,al.sulaymaniyah,dokan,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,6,6,6
442,3329151d-baad-4a3d-a62f-f9b69b4750f2,25441,11-Sep,NA,al.ramadi,25,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
443,334f6474-87e0-4c49-9efa-ef3f0645d700,25866,8-Aug,NA,tooz.khurmato,80,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
444,341e02f7-5b0e-4fd1-a484-bcbd25fd0c23,25866,8-Aug,NA,tooz.khurmato,75,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
445,34819e7f-e5b1-444a-b8a1-1c15e2c50724,23889,12-Sep,NA,al.ramadi,18,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
446,35224986-2963-4ba7-8498-881a10a035c1,NA,13-Aug,baghdad,al.mahmoudiya,99,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
447,35a68285-13eb-4fc6-9733-425974abbf5e,NA,17-Aug,thi.qar,al.nasiriya,106,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
448,3613d6c9-28a2-42e2-8e1b-f3713274f6a9,NA,14-Aug,baghdad,al.kadhmiyah,107,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
449,3684c9c9-6e4a-45fa-be22-0e9b66ed87c9,NA,22-Jul,baghdad,al.kadhmiyah,32,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
450,36909fc5-460c-435b-99f7-96f616079448,NA,13-Aug,baghdad,al.mahmoudiya,14,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
451,37802187-859f-48e9-b50b-8ca97122a325,NA,12-Aug,ninewa,al.baaj,99,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
452,37e7cbd3-edfc-4930-9d6d-9a4fec0abe3f,32032,6-Aug,NA,zakho,91,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
453,3819e0ff-7449-4c01-ac2b-d3783fc4be30,NA,6-Aug,ninewa,sinjar,101,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
454,381ebabb-98d8-42de-b1d6-4d2fea43c834,14375,16-Aug,NA,dibis,63,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
455,38d11dfe-eb39-4207-b010-c42cb2c5647c,NA,27-Jul,ninewa,al.baaj,7,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
456,38daac5e-4bca-477b-8329-b629405aff2c,20613,27-Jul,NA,al.shirqat,73,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
457,39af7134-8da9-40e1-8d7f-1961b2e0979a,169,8-Sep,NA,al.falluja,14,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
458,39b2994a-2a3b-48de-8c6f-1a136842e7b2,25866,8-Aug,NA,tooz.khurmato,75,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
459,39fe3910-5193-4bdd-b08c-9da62365397a,21955,28-Jul,NA,al.shirqat,81,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
460,3a114b1f-67f2-46e6-9c67-2878e28f5a67,NA,16-Aug,al.qadissiya,al.diwaniya,109,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
461,3a174009-f850-4d7f-8ece-8b7b1a38f793,20689,30-Jul,NA,beygee,74,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
462,3a17ac12-64a5-48dc-9d26-6ba014c0676f,NA,15-Aug,erbil,koysinjaq,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
463,3a396d1b-7ddb-4df8-9337-a8a3c0fdc060,NA,23-Jul,diyala,al.muqdadiya,2,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
464,3a893dd1-eb69-43d4-b052-e3a6682c0995,NA,13-Aug,baghdad,al.mahmoudiya,22,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
465,3acd8a45-5c55-4544-ae22-d63ae2c1df94,NA,13-Aug,baghdad,al.mahmoudiya,13,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
466,3b1734e8-6ba1-4924-8a52-ab8a82eb49c2,NA,10-Aug,salah.al.din,samarra,14,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
467,3b39ac0f-6d16-4f20-8f63-033fc85a0d75,NA,22-Jul,diyala,al.muqdadiya,11,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
468,3b50c9cd-7c50-4986-8b95-19d6e42a8579,NA,9-Aug,salah.al.din,tikrit,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
469,3b784964-0a87-4dcc-a43b-8e6f136c0b76,25754,11-Aug,NA,tooz.khurmato,75,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
470,3b9f8844-864f-44a4-b1ad-b6a87a1d9a3c,25866,7-Aug,NA,tooz.khurmato,71,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
471,3bad7ffb-811c-4f65-a4d7-e718e163dd7f,NA,4-Aug,ninewa,al.hamdaniya,107,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
472,3c23c73f-6c89-4b9c-8ada-8e4126e8b742,29614,30-Jul,NA,sumail,97,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
473,3c2d8914-8a77-4bb9-87a3-324fe352325d,NA,23-Jul,al.sulaymaniyah,halabcha,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
474,3c979189-915b-4e0b-932f-103d88a97798,14375,19-Aug,NA,dibis,63,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,5,5,6
475,3c98c708-c35b-414c-a91d-10ed67cdc35e,NA,13-Aug,baghdad,al.mahmoudiya,13,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
476,3d28063e-de00-4817-9731-668a52086a2f,NA,9-Aug,salah.al.din,tikrit,22,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
477,3d7e43f4-1c1c-45a9-bbef-0e9e52062a84,NA,6-Aug,salah.al.din,balad,22,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
478,3d974028-5585-4bd4-8c53-e60dc2dcca73,14375,19-Aug,NA,dibis,63,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
479,3ded3caf-04d5-4ba1-a278-eadbcb01b95b,NA,5-Aug,al.anbar,al.kaim,22,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
480,3ea7ea3a-fcb4-4853-a287-bde0a35edf84,NA,16-Aug,al.najaf,al.najaf,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
481,3edf3446-7c97-43f9-a68f-59335dd4d9a1,25754,7-Aug,NA,tooz.khurmato,70,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
482,3f3891e0-46fd-4786-8d6f-3d5b2e2c3ef4,33123,27-Jul,NA,al.shirqat,77,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
483,3f410e8c-82b5-4393-881c-27a9a048978d,NA,6-Aug,al.sulaymaniyah,halabcha,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
484,3fbb4613-3c45-4425-9057-1e92d17827e7,NA,29-Jul,ninewa,al.hamdaniya,110,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
485,40121c63-aee6-480b-ad46-2d24a402aaa4,NA,6-Aug,salah.al.din,balad,22,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
486,4025a505-8b2e-4e9c-b96e-232ee6dddfc6,25868,11-Aug,NA,tooz.khurmato,81,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
487,4026edb8-603f-49b1-b542-0c892d0a9a58,17333,7-Aug,NA,al.shikhan,97,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
488,404692e7-bc15-4e88-a4fe-6599463b80c7,NA,5-Aug,al.anbar,al.kaim,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
489,40a2d6c2-2883-4fdb-80a0-995136ee6810,NA,13-Aug,baghdad,al.mahmoudiya,110,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
490,40c74b58-9e88-49d5-8ce5-d632c4314e07,29614,30-Jul,NA,sumail,97,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
491,413e0af2-5aef-43c6-a41a-9ab1045bedf0,NA,4-Aug,al.sulaymaniyah,derbendikhan,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
492,421a5dcd-773e-4b12-8416-9b798f82b3ff,18199,8-Aug,NA,al.shikhan,92,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
493,42979a19-8548-4466-bea0-85a15e35f019,NA,17-Aug,ninewa,telafar,21,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
494,42db4e82-f886-45d7-b4bd-ada2c7cc04a8,NA,5-Aug,al.anbar,al.kaim,13,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
495,42fcd781-2604-45fb-b0b8-98529b24702f,19555,21-Jul,NA,al.kut,2,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
496,433e1e66-699a-4443-86c0-5d2df92409c4,33123,27-Jul,NA,al.shirqat,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
497,434f2fe8-8b98-498c-a7c3-081a1530a412,NA,21-Jul,al.sulaymaniyah,chamchamal,4,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
498,43d07160-e007-4823-8be1-d6582d75d718,25754,7-Aug,NA,tooz.khurmato,74,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
499,43eccef7-64ee-496c-bb90-7534b878bded,14375,17-Aug,NA,dibis,63,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
500,43f2474d-4125-4503-bb89-0a9ad49c82e8,14375,17-Aug,NA,dibis,63,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
501,440ab949-c572-48c9-b965-7125e69090cd,NA,22-Jul,al.sulaymaniyah,al.sulaymaniyah,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
502,4457d810-484e-49d5-9e9d-60b10c169770,22581,5-Aug,NA,beygee,75,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
503,44a8122f-c2fb-4384-9bac-67a5737c9952,NA,17-Aug,al.najaf,al.kufa,21,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,1,1,6
504,4503db0b-6c76-4c03-a054-ca4f91a6d2b0,23388,4-Aug,NA,beygee,72,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
505,453bd3f1-a78a-4cf7-b9e3-c09a7bf56d40,NA,9-Aug,salah.al.din,tikrit,100,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
506,45c5fadf-7c0b-4e92-ba28-2f8d89772c49,NA,28-Jul,ninewa,al.hamdaniya,2,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
507,46f79993-cca2-4746-92fb-4909db95bdb2,NA,9-Aug,salah.al.din,tikrit,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
508,471ff950-aa79-40df-9a64-e4a0bb012212,25754,11-Aug,NA,tooz.khurmato,78,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
509,47350425-f69f-4e5f-8251-c52210365cd4,25630,1-Jan,NA,erbil,123,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
510,473740b4-162e-451e-9a6d-72667a2d3d3a,23889,12-Sep,NA,al.ramadi,15,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
511,478d0849-5cbf-44e2-b5ed-e35e22833680,NA,12-Aug,ninewa,al.baaj,99,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
512,478fb740-9e51-4de6-80b1-036620ce28d6,32027,6-Aug,NA,zakho,87,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
513,47d3b0a9-1729-43af-aad6-ef57ef8060de,25752,6-Aug,NA,tooz.khurmato,76,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
514,4854528e-4a74-4829-8fe4-97344eab85e8,NA,28-Jul,al.sulaymaniyah,al.sulaymaniyah,36,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,3,3,6
515,48597b80-b6f9-4a63-bd9d-e51de397b742,32032,6-Aug,NA,zakho,91,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
516,48949de8-16cc-49be-8658-052a790bdddc,NA,13-Aug,baghdad,al.mahmoudiya,110,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,4,4,6
517,48b17311-ae02-416f-a495-5c4885ba7c1c,25754,7-Aug,NA,tooz.khurmato,70,covid_dropout,number of children dropping out of school (prior to COVID) is bigger than the number of children not attending formal education,Flagged,NA,2,2,6
